,,,,"Sab
12
Jun","Lun
13
Jun","Mar
14
Jun","Mie
15
Jun","Jue
16
Jun","Vie
17
Jun","Sab
18
Jun","Lun
20
Jun","Mar
21
Jun","Mie
22
Jun","Jue
23
Jun","Vie
24
Jun","Sab
25
Jun","Lun
27
Jun","Mar
28
Jun"
0,2,SIE,Sistemas de Información para Empresas,,,,,,,,,,,,,,M,
1,2,SMD,Sistemas Multidimensionales,,,T,,,,,,,,,,,,
2,2,CUIA,Computación Ubícua e Inteligencia Ambiental,,,,,,,,T,,,,,,,
3,2,SWAP,Servidores Web de Altas Prestaciones,,,,,,,,,,T,,,,,
4,2,SMM,Sistemas Multimedia,,,,,,,,,,,,,,M,
5,2,TW,Tecnologías Web,,,,,,,,,,,,M,,,
6,2,TDRC,Transmisión de Datos y Redes de Computadores,,,T,,,,,,,,,,,,
7,2,CEGE,Creación de Empresas y Gestión Emprendedora,,,,T,,,,,,,,,,,
8,2,DI,Derecho Informático,,,,,,,,,,,T,,,,
9,2,EISI,"Ética, Informática y Sociedad de la Información",,,,,,,,,T,,,,,,
10,2,CRIP,Criptografía y Computación,,,,T,,,,,,,,,,,
11,2,PLD,Programación Lúdica,,,,,,,,,,,T,,,,
12,2,RI,Robótica Industrial,,,,,,,,,T,,,,,,
13,2,CII,Circuitos Integrados e Impresos,,,,T,,,,,,,,,,,
14,2,CLP,Controladores Lógicos Programables,,,,,,,,,,,T,,,,
15,2,MEI,Mantenimiento de Equipos Informáticos,,,,,,,,,T,,,,,,
16,2,AO,Animación por Ordenador,,,,T,,,,,,,,,,,
17,2,NTP,Nuevas Tecnologías de la Programación,,,,,,,,,,,T,,,,
18,2,PPR,Programación Paralela,,,,,,,,,T,,,,,,
19,2,PDIH,Periféricos y Dispositivos de Interfaz Humana,,,,T,,,,,,,,,,,
20,2,SCGC,Sistemas Cooperativos y Gestión de Contenidos,,,,,,,,,,,T,,,,
21,2,PDS,Procesamiento Digital de Señales,,,,T,,,,,,,,,,,
22,2,PDM,Programación de Dispositivos Móviles,,,,,,,,,,,T,,,,
23,2,RMS,Redes Multiservicio,,,,,,,,,T,,,,,,
